1,John,Smith,USA,25
2,Inav,Petrov,RU,23
3,John,Smith,USA,25
4,Inav,Petrov,RU,23
5,John,Smith,USA,25
6,Inav,Petrov,RU,23
7,John,Smith,USA,25
8,Inav,Petrov,RU,23
9,John,Smith,USA,25
10,Inav,Petrov,RU,23
11,John,Smith,USA,25
12,Inav,Petrov,RU,23
13,John,Smith,USA,25
14,Inav,Petrov,RU,23
15,John,Smith,USA,25
16,Inav,Petrov,RU,23
17,John,Smith,USA,25
18,Inav,Petrov,RU,23
19,John,Smith,USA,25
20,Inav,Petrov,RU,23
21,John,Smith,USA,25
22,Inav,Petrov,RU,23
23,John,Smith,USA,25
24,Inav,Petrov,RU,23
25,John,Smith,USA,25
26,Inav,Petrov,RU,23
27,John,Smith,USA,25
28,Inav,Petrov,RU,23
29,John,Smith,USA,25
30,Inav,Petrov,RU,23
31,John,Smith,USA,25
32,Inav,Petrov,RU,23
33,John,Smith,USA,25
34,Inav,Petrov,RU,23
35,John,Smith,USA,25
36,Inav,Petrov,RU,23
37,John,Smith,USA,25
38,Inav,Petrov,RU,23
39,John,Smith,USA,25
40,Inav,Petrov,RU,23
41,John,Smith,USA,25
42,Inav,Petrov,RU,23
43,John,Smith,USA,25
44,Inav,Petrov,RU,23
45,John,Smith,USA,25
46,Inav,Petrov,RU,23
47,John,Smith,USA,25
48,Inav,Petrov,RU,23
49,John,Smith,USA,25
50,Inav,Petrov,RU,23
51,John,Smith,USA,25
52,Inav,Petrov,RU,23
53,John,Smith,USA,25
54,Inav,Petrov,RU,23
55,John,Smith,USA,25
56,Inav,Petrov,RU,23
57,John,Smith,USA,25
58,Inav,Petrov,RU,23
59,John,Smith,USA,25
60,Inav,Petrov,RU,23
61,John,Smith,USA,25
62,Inav,Petrov,RU,23
63,John,Smith,USA,25
64,Inav,Petrov,RU,23
65,John,Smith,USA,25
66,Inav,Petrov,RU,23
67,John,Smith,USA,25
68,Inav,Petrov,RU,23
69,John,Smith,USA,25
70,Inav,Petrov,RU,23
71,John,Smith,USA,25
72,Inav,Petrov,RU,23
73,John,Smith,USA,25
74,Inav,Petrov,RU,23
75,John,Smith,USA,25
76,Inav,Petrov,RU,23
77,John,Smith,USA,25
78,Inav,Petrov,RU,23
79,John,Smith,USA,25
80,Inav,Petrov,RU,23
81,John,Smith,USA,25
82,Inav,Petrov,RU,23
83,John,Smith,USA,25
84,Inav,Petrov,RU,23
85,John,Smith,USA,25
86,Inav,Petrov,RU,23
87,John,Smith,USA,25
88,Inav,Petrov,RU,23
89,John,Smith,USA,25
90,Inav,Petrov,RU,23
91,John,Smith,USA,25
92,Inav,Petrov,RU,23
93,John,Smith,USA,25
94,Inav,Petrov,RU,23
95,John,Smith,USA,25
96,Inav,Petrov,RU,23
97,John,Smith,USA,25
98,Inav,Petrov,RU,23
99,John,Smith,USA,25
100,John,Smith,USA,25
101,Inav,Petrov,RU,23
102,John,Smith,USA,25
103,Inav,Petrov,RU,23
104,John,Smith,USA,25
105,Inav,Petrov,RU,23
106,John,Smith,USA,25
107,Inav,Petrov,RU,23
108,John,Smith,USA,25
